Path,File,Date Acquired,Sample,Misc
C:\Data\2020\20200807_2DGC_JLOpt\,22TS51.D, 9 Sep 2020  11:45    , , 
Signal: 22TS51.D\FID1A.ch,,,,
0.056,20121,,,
0.056,20096,,,
0.056,20031,,,
0.056,20115,,,
0.056,20186,,,
0.056,20217,,,
0.056,20216,,,
0.057,20244,,,
0.057,20150,,,
0.057,20108,,,
0.057,20108,,,
0.057,20087,,,
0.057,20063,,,
0.057,20097,,,
0.057,20118,,,
0.057,20040,,,
0.057,20065,,,
0.057,20084,,,
0.057,20015,,,
0.058,20015,,,
0.058,20051,,,
0.058,20065,,,
0.058,19963,,,
0.058,20020,,,
0.058,20050,,,
0.058,20043,,,
0.058,20024,,,
0.058,20029,,,
0.058,19944,,,
0.058,19893,,,
0.058,19981,,,
0.059,20045,,,
0.059,20091,,,
0.059,20120,,,
0.059,20070,,,
0.059,19942,,,
0.059,19878,,,
0.059,19975,,,
0.059,19997,,,
0.059,20057,,,
0.059,20071,,,
0.059,20056,,,
0.059,20011,,,
0.06,20053,,,
0.06,20136,,,
0.06,20072,,,
0.06,20082,,,
0.06,20063,,,
0.06,20009,,,
0.06,20003,,,
0.06,20051,,,
0.06,20044,,,
0.06,19949,,,
0.06,19962,,,
0.06,19979,,,
0.061,19955,,,
0.061,19922,,,
0.061,19934,,,
0.061,19868,,,
0.061,19849,,,
0.061,19906,,,
0.061,19870,,,
0.061,19824,,,
0.061,19867,,,
0.061,19955,,,
0.061,19938,,,
0.061,19989,,,
0.062,20056,,,
0.062,20036,,,
0.062,20011,,,
0.062,20063,,,
0.062,20118,,,
0.062,20102,,,
0.062,20120,,,
0.062,20126,,,
0.062,20034,,,
0.062,20064,,,
0.062,20128,,,
0.062,20157,,,
0.063,20141,,,
0.063,20197,,,
0.063,20202,,,
0.063,20179,,,
0.063,20249,,,
0.063,20272,,,
0.063,20194,,,
0.063,20119,,,
0.063,20109,,,
0.063,20088,,,
0.063,20051,,,
0.063,20097,,,
0.064,20052,,,
0.064,20005,,,
0.064,20027,,,
0.064,20078,,,
0.064,20011,,,
0.064,19999,,,
0.064,20029,,,
0.064,19996,,,
0.064,20011,,,
0.064,20035,,,
0.064,20060,,,
0.064,20008,,,
0.065,19997,,,
0.065,19994,,,
0.065,19918,,,
0.065,19932,,,
0.065,20002,,,
0.065,19985,,,
0.065,19969,,,
0.065,20011,,,
0.065,20031,,,
0.065,19984,,,
0.065,19985,,,
0.065,19991,,,
0.066,19987,,,
0.066,20001,,,
0.066,20060,,,
0.066,20100,,,
0.066,20030,,,
0.066,19982,,,
0.066,19883,,,
0.066,20013,,,
0.066,20038,,,
0.066,20107,,,
0.066,20017,,,
0.066,19997,,,
0.067,20066,,,
0.067,19949,,,
0.067,20049,,,
0.067,19930,,,
0.067,19981,,,
0.067,19962,,,
0.067,20005,,,
0.067,20095,,,
0.067,19978,,,
0.067,20033,,,
0.067,19915,,,
0.067,19934,,,
0.068,19937,,,
0.068,19974,,,
0.068,20026,,,
0.068,19964,,,
0.068,20085,,,
0.068,20083,,,
0.068,20130,,,
0.068,20080,,,
0.068,20119,,,
0.068,20118,,,
0.068,20132,,,
0.068,20256,,,
0.069,20189,,,
0.069,20183,,,
0.069,20112,,,
0.069,20146,,,
0.069,20078,,,
0.069,20025,,,
0.069,20140,,,
0.069,20061,,,
0.069,20100,,,
0.069,20064,,,
0.069,20106,,,
0.069,20086,,,
0.07,20085,,,
0.07,20162,,,
0.07,20014,,,
0.07,20070,,,
0.07,20065,,,
0.07,20080,,,
0.07,20027,,,
0.07,19986,,,
0.07,20059,,,
0.07,19954,,,
0.07,20047,,,
0.07,20008,,,
0.071,20031,,,
0.071,20017,,,
0.071,20045,,,
0.071,20025,,,
0.071,19946,,,
0.071,19983,,,
0.071,19950,,,
0.071,19983,,,
0.071,19974,,,
0.071,19996,,,
0.071,19942,,,
0.071,19936,,,
0.072,19993,,,
0.072,19953,,,
0.072,20039,,,
0.072,20076,,,
0.072,20159,,,
0.072,20066,,,
0.072,20027,,,
0.072,20012,,,
0.072,19941,,,
0.072,19925,,,
0.072,19952,,,
0.072,19924,,,
0.073,19957,,,
0.073,19958,,,
0.073,20050,,,
0.073,19980,,,
0.073,19950,,,
0.073,19963,,,
0.073,19946,,,
0.073,20004,,,
0.073,20055,,,
0.073,20077,,,
0.073,20125,,,
0.073,20114,,,
0.074,20130,,,
0.074,20013,,,
0.074,20108,,,
0.074,20174,,,
0.074,20212,,,
0.074,20192,,,
0.074,20178,,,
0.074,20060,,,
0.074,19995,,,
0.074,20037,,,
0.074,20059,,,
0.074,19993,,,
0.075,19925,,,
0.075,19958,,,
0.075,19915,,,
0.075,20075,,,
0.075,20072,,,
0.075,20014,,,
0.075,20027,,,
0.075,20096,,,
0.075,20110,,,
0.075,19901,,,
0.075,19908,,,
0.075,19933,,,
0.076,19932,,,
0.076,19928,,,
0.076,19867,,,
0.076,19847,,,
0.076,19817,,,
0.076,19994,,,
0.076,19961,,,
0.076,20019,,,
0.076,19993,,,
0.076,19992,,,
0.076,19914,,,
0.076,19900,,,
0.077,20003,,,
0.077,19937,,,
0.077,20036,,,
0.077,20042,,,
0.077,20062,,,
0.077,19950,,,
0.077,19883,,,
0.077,19977,,,
0.077,19956,,,
0.077,20095,,,
0.077,20064,,,
0.077,20012,,,
0.078,20020,,,
0.078,20024,,,
0.078,20080,,,
0.078,19975,,,
0.078,20052,,,
0.078,20004,,,
0.078,19974,,,
0.078,19983,,,
0.078,20026,,,
0.078,20014,,,
0.078,19974,,,
0.078,20051,,,
0.079,20022,,,
0.079,19980,,,
0.079,19945,,,
0.079,19999,,,
0.079,20017,,,
0.079,20111,,,
0.079,20183,,,
0.079,20080,,,
0.079,20034,,,
0.079,19967,,,
0.079,19981,,,
0.079,19935,,,
0.08,20004,,,
0.08,20034,,,
0.08,19978,,,
0.08,20012,,,
0.08,20008,,,
0.08,19969,,,
0.08,19950,,,
0.08,20009,,,
0.08,19981,,,
0.08,19916,,,
0.08,19944,,,
0.08,20012,,,
0.081,19981,,,
0.081,19985,,,
0.081,19984,,,
0.081,19921,,,
0.081,19927,,,
0.081,19981,,,
0.081,19955,,,
0.081,19915,,,
0.081,19962,,,
0.081,19992,,,
0.081,19897,,,
0.081,19870,,,
0.082,19921,,,
0.082,19928,,,
0.082,19970,,,
0.082,20084,,,
0.082,20118,,,
0.082,20057,,,
0.082,20033,,,
0.082,20073,,,
0.082,20034,,,
0.082,20045,,,
0.082,20031,,,
0.082,19925,,,
0.083,19906,,,
0.083,19916,,,
0.083,19990,,,
0.083,19908,,,
0.083,19902,,,
0.083,19887,,,
0.083,19841,,,
0.083,19917,,,
0.083,19996,,,
0.083,20028,,,
0.083,20058,,,
0.083,20098,,,
0.084,20064,,,
0.084,20031,,,
0.084,20107,,,
0.084,20137,,,
0.084,20043,,,
0.084,19997,,,
0.084,20073,,,
0.084,20048,,,
0.084,20018,,,
0.084,20030,,,
0.084,20058,,,
0.084,20068,,,
0.085,20121,,,
0.085,20133,,,
0.085,20070,,,
0.085,20102,,,
0.085,20157,,,
0.085,20128,,,
0.085,20122,,,
0.085,20141,,,
0.085,20134,,,
0.085,20087,,,
0.085,20156,,,
0.085,20201,,,
0.086,20122,,,
0.086,20069,,,
0.086,20080,,,
0.086,20066,,,
0.086,20061,,,
0.086,20096,,,
0.086,20058,,,
0.086,20042,,,
0.086,20073,,,
0.086,20113,,,
0.086,20024,,,
0.086,20052,,,
0.087,20072,,,
0.087,20021,,,
0.087,19971,,,
0.087,20003,,,
0.087,19995,,,
0.087,19939,,,
0.087,19987,,,
0.087,20053,,,
0.087,20009,,,
0.087,19986,,,
0.087,20019,,,
0.087,19952,,,
0.088,19946,,,
0.088,20016,,,
0.088,20113,,,
0.088,20095,,,
0.088,20075,,,
0.088,20030,,,
0.088,19924,,,
0.088,19952,,,
0.088,19970,,,
0.088,19932,,,
0.088,19818,,,
0.088,19791,,,
0.089,19799,,,
0.089,19782,,,
0.089,19910,,,
0.089,19929,,,
0.089,19914,,,
0.089,19880,,,
0.089,19952,,,
0.089,19936,,,
0.089,19950,,,
0.089,20018,,,
0.089,20032,,,
0.089,19999,,,
0.09,19947,,,
0.09,19934,,,
0.09,19827,,,
0.09,19861,,,
0.09,19954,,,
0.09,19993,,,
0.09,19985,,,
0.09,20032,,,
0.09,20033,,,
0.09,20026,,,
0.09,20047,,,
0.09,20086,,,
0.091,20035,,,
0.091,20062,,,
0.091,20109,,,
0.091,20084,,,
0.091,20090,,,
0.091,20107,,,
0.091,20100,,,
0.091,20010,,,
0.091,20047,,,
0.091,20112,,,
0.091,20085,,,
0.091,20113,,,
0.092,20129,,,
0.092,20050,,,
0.092,19987,,,
0.092,20000,,,
0.092,20037,,,
0.092,20019,,,
0.092,20075,,,
0.092,20099,,,
0.092,20070,,,
0.092,20068,,,
0.092,20143,,,
0.092,20106,,,
0.093,20051,,,
0.093,19996,,,
0.093,19986,,,
0.093,19936,,,
0.093,19979,,,
0.093,19981,,,
0.093,19926,,,
0.093,19961,,,
0.093,20009,,,
0.093,20003,,,
0.093,19958,,,
0.093,19995,,,
0.094,20018,,,
0.094,20065,,,
0.094,20164,,,
0.094,20185,,,
0.094,20069,,,
0.094,20039,,,
0.094,20138,,,
0.094,20171,,,
0.094,20141,,,
0.094,20130,,,
0.094,20067,,,
0.094,20027,,,
0.095,20045,,,
0.095,20141,,,
0.095,20136,,,
0.095,20159,,,
0.095,20153,,,
0.095,20050,,,
0.095,20022,,,
0.095,20069,,,
0.095,20143,,,
0.095,20127,,,
0.095,20141,,,
0.095,20186,,,
0.096,20133,,,
0.096,20132,,,
0.096,20074,,,
0.096,20035,,,
0.096,20051,,,
0.096,20080,,,
0.096,20064,,,
0.096,20006,,,
0.096,20027,,,
0.096,20011,,,
0.096,19951,,,
0.096,19922,,,
0.097,19995,,,
0.097,19977,,,
0.097,19984,,,
0.097,20055,,,
0.097,20082,,,
0.097,20142,,,
0.097,20167,,,
0.097,20250,,,
0.097,20199,,,
0.097,20166,,,
0.097,20203,,,
0.097,20254,,,
0.098,20387,,,
0.098,20445,,,
0.098,20397,,,
0.098,20353,,,
0.098,20414,,,
0.098,20498,,,
0.098,20406,,,
0.098,20473,,,
0.098,20571,,,
0.098,20481,,,
0.098,20321,,,
0.098,20470,,,
0.099,20643,,,
0.099,20633,,,
0.099,20497,,,
0.099,20600,,,
0.099,20580,,,
0.099,20620,,,
0.099,20680,,,
0.099,20650,,,
0.099,20711,,,
0.099,20698,,,
0.099,20848,,,
0.099,20724,,,
0.1,20832,,,
0.1,20833,,,
0.1,20847,,,
